0 0 2.34256	0 0 1.17478
0.0808105 10.9804 9.84208	0 144.727 5.86706
0.0810547 9.70121 9.77217	0 86.2181 5.82025
0.0812988 10.0594 9.71555	0 111.307 5.84959
0.081543 9.48345 9.67462	0 100.008 5.96338
0.0817871 8.2268 9.65071	0 62.4037 6.17001
0.0820312 9.07901 9.64375	0 91.8325 6.46664
0.0822754 9.14458 9.65198	0 60.9097 6.82842
0.0825195 8.28455 9.67197	0 70.9091 7.20647
0.0827637 11.6022 9.6988	0 121.367 7.53785
0.0830078 9.2731 9.72665	0 80.8124 7.76403
0.083252 9.26236 9.74947	0 102.158 7.84882
0.0834961 12.138 9.76181	0 144.86 7.78765
0.0837402 9.08613 9.75953	0 75.8263 7.60489
0.0839844 10.234 9.74036	0 87.4664 7.34264
0.0842285 10.4889 9.70417	0 109.362 7.04715
0.0844727 8.60185 9.65287	0 69.4411 6.75848
0.0847168 11.3378 9.5901	0 166.502 6.505
0.0849609 9.71691 9.52061	0 78.4871 6.30197
0.0852051 8.39487 9.44952	0 70.1524 6.15217
0.0854492 9.3664 9.38157	0 78.2148 6.04806
0.0856934 8.67117 9.32045	0 79.1007 5.97535
0.0859375 8.73587 9.26829	0 89.5854 5.91784
0.0861816 8.22238 9.22553	0 60.5768 5.86217
0.0864258 9.90072 9.19099	0 83.8194 5.80111
0.0866699 9.16277 9.16225	0 69.7459 5.7343
0.0869141 8.94989 9.13617	0 70.2313 5.66657
0.0871582 10.6865 9.10952	0 91.559 5.60458
0.0874023 7.97027 9.0795	0 54.434 5.55286
0.0876465 10.0096 9.04408	0 103.34 5.5105
0.0878906 8.34095 9.00227	0 55.9965 5.4699
0.0881348 9.18749 8.95405	0 66.2412 5.41855
0.0883789 9.24208 8.90027	0 63.3276 5.3439
0.088623 9.23378 8.84239	0 105.765 5.23918
0.0888672 8.93313 8.78213	0 104.84 5.10761
0.0891113 7.9919 8.72125	0 65.1648 4.96243
0.0893555 7.73152 8.66131	0 77.9035 4.82273
0.0895996 9.64186 8.60345	0 65.954 4.70706
0.0898438 8.19886 8.54835	0 66.882 4.62821
0.0900879 8.72262 8.49621	0 58.0796 4.59118
0.090332 8.01296 8.44674	0 80.5565 4.5947
0.0905762 9.22381 8.39931	0 86.3535 4.63422
0.0908203 7.51024 8.35298	0 61.8286 4.70445
0.0910645 7.98039 8.30672	0 45.354 4.79989
0.0913086 8.12052 8.25947	0 47.4429 4.91368
0.0915527 9.16405 8.21033	0 78.2201 5.03572
0.0917969 8.86603 8.15862	0 75.262 5.15112
0.092041 7.25413 8.10395	0 39.5105 5.24021
0.0922852 8.39856 8.04618	0 98.9713 5.28052
0.0925293 7.51848 7.98535	0 46.1802 5.25096
0.0927734 8.24521 7.9215	0 93.162 5.13751
0.0930176 7.67362 7.85459	0 61.2639 4.93854
